ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
MP2-BE-GR-6,985,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr057,MP2,46.63304498124454,8.004217980191711,30,SW,211978,17.9
MP2-BE-GR-7,990,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,79/402,MP2,46.62666212511615,8.021256674500702,40,S,212079,30.7
MP2-BE-GR-8,990,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,613,80/133,MP2,46.62742941280952,8.01186334887874,70,S,212017,11.1
MP2-BE-GR-9,1002,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr036,MP2,46.61900408791394,8.023524246639335,0,-,322405,30.9
MP2-BE-GR-10,1010,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/058,MP2,46.62336791324175,8.032058338654721,20,S,210157,10.8
MP2-BE-GR-11,1010,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,613,81/006,MP2,46.63253126869265,7.970781669403701,45,N,208255,11.1
MP2-BE-GR-12,1160,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,611,79/207,MP2,46.6116882749858,8.029188922275319,70,N,236333,2.4
MP2-BE-GR-13,1235,Bern,Grindelwald,MWi,Frischer Magerrasen,NA,TRUE,612,81/004,MP2,46.629626001963466,7.966835624210088,60,N,316191,1.4
MP2-BE-GR-14,1270,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,80/045,MP2,46.62068024881533,7.994166092574778,25,NE,828010,6.5
MP2-BE-GR-15,1290,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/031,MP2,46.63501716541907,8.073846404674924,30,S,228537,5.3
MP2-BE-GR-16,1320,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,612,81/024,MP2,46.62376083745085,7.989627825446924,90,E,236157,5.5
MP2-BE-GR-17,1325,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,Gr054,MP2,46.64012719296515,8.009124538334303,35,S,208218,14.8
MP2-BE-GR-18,1330,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,611,81/079,MP2,46.63729476546193,8.052193211427692,70,S,238107,1.4
MP2-BE-GR-19,1340,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,611,81/015,MP2,46.64004311514488,8.007948179317037,70,S,236275,4.4
MP2-BE-GR-20,1350,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,613,78/103,MP2,46.63773566177122,8.019547516558498,70,W,216886,12.2
MP2-BE-GR-21,1360,Bern,Grindelwald,FWi,Fettwiese,NA,TRUE,613,81/028,MP2,46.61907884849436,7.990494052087135,50,NE,649335,9.7
MP2-BE-GR-22,1380,Bern,Grindelwald,MWi,Basiphiler Magerrasen,NA,TRUE,611,80/057,MP2,46.607300804566826,8.025225171795995,70,N,236657,3.7
MP2-BE-GR-23,1400,Bern,Grindelwald,MWi,Azidophiler Magerrasen,NA,TRUE,611,79/206,MP2,46.6412002516511,8.061902766081197,25,SE,239485,3.2
