"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
79;"Bryum bicolor aggr.";"M";"Bryum";"bicolor aggr.";"";"4";"II";"2";"II";"4";"I";"Bg Be";"I";"3";"II";"4";"II";"1";"II";"1";"I";"";"R.r";"Bs*";"di";"m";"So";"eE";"II";3;"";"(CR)";""
80;"Bryum blindii";"M";"Bryum";"blindii";"NISM";"1";"II";"";"";"4";"I";"Gl Be";"I";"4";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eG";"I";1;"";"VU";""
81;"Bryum caespiticium aggr.";"M";"Bryum";"caespiticium aggr.";"";"x";"-";"";"";"4";"II";"Be Bg";"II";"2";"II";"4";"II";"";"";"";"";"";"R.n";"Kr";"di";"c";"Fr-So";"eG";"II";3;"";"";"tax"
82;"Bryum capillare aggr.";"M";"Bryum";"capillare aggr.";"";"3";"II";"3";"II";"3";"II";"Be Gf";"II";"3";"II";"4";"I";"3";"II";"5";"II";"";"R.n";"(Bk)";"m/d";"m";"Fr-So";"gH";"II";3;"";"";""
83;"Bryum creberrimum";"M";"Bryum";"creberrimum";"NISM";"3";"II";"";"";"3";"II";"Gl Be";"II";"4";"I";"5";"I";"";"";"";"";"";"R.n";"-";"mo";"c";"So";"gG";"II";3;"";"";"tax"
84;"Bryum erythrocarpum aggr.";"M";"Bryum";"erythrocarpum aggr.";"";"4";"II";"3";"II";"4";"II";"Be";"I";"3";"II";"4";"II";"5";"II";"1";"I";"";"R.r";"Kr";"m/d";"m";"Fr-He";"gK";"II";3;"";"(VU)";"tax"
85;"Bryum pallens aggr.";"M";"Bryum";"pallens aggr.";"";"x";"-";"";"";"3";"II";"Be Gf";"II";"3";"II";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"gH";"II";3;"";"";""
86;"Bryum pallescens";"M";"Bryum";"pallescens";"NISM";"2";"II";"3";"II";"3";"II";"Be Gf";"II";"3";"II";"4";"II";"3";"I";"3";"I";"";"R.n";"-";"mo";"c";"Fr-So";"gG";"II";3;"";"";"tax"
87;"Bryum pseudotriquetrum aggr.";"M";"Bryum";"pseudotriquetrum aggr.";"";"x";"-";"3";"II";"3";"II";"Be Gf";"II";"5";"II";"4";"II";"1";"I";"3";"II";"";"R.n";"(Bk)";"m/d";"m";"So";"eM";"II";3;"";"(CR)";""
88;"Bryum turbinatum aggr.";"M";"Bryum";"turbinatum aggr.";"";"1";"II";"";"";"4";"I";"Be Bg";"II";"4";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eQ";"II";1;"";"";"tax"
