"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
548;"Sphagnum imbricatum aggr.";"M";"Sphagnum";"imbricatum aggr.";"";"3";"I";"1";"II";"4";"I";"Bt";"I";"4";"II";"2";"II";"";"";"";"";"";"R.n";"-";"di";"p";"?";"eM";"I";3;"";"VU";""
549;"Sphagnum magellanicum";"M";"Sphagnum";"magellanicum";"NISM";"3";"II";"3";"II";"4";"II";"Bt";"I";"4";"I";"2";"I";"3";"II";"5";"II";"";"P.n";"-";"di";"p";"?";"eM";"II";1;"";"";""
550;"Sphagnum majus";"M";"Sphagnum";"majus";"NISM";"2";"II";"4";"I";"4";"I";"Bt Ws";"I";"5";"I";"1";"I";"1";"I";"";"";"";"R.n";"-";"di";"m";"?";"eM";"I";1;"";"";""
551;"Sphagnum molle";"M";"Sphagnum";"molle";"NISM";"2";"";"2";"";"4";"";"Bt";"";"4";"";"1";"";"1";"";"";"";"";"P.n";"-";"aut";"m";"?";"eM";"";NA;"";"VU";""
552;"Sphagnum palustre aggr.";"M";"Sphagnum";"palustre aggr.";"";"4";"II";"3";"II";"3";"II";"Bt";"I";"4";"II";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"p";"?";"eM";"II";3;"";"";"tax"
553;"Sphagnum papillosum";"M";"Sphagnum";"papillosum";"NISM";"3";"I";"2";"II";"4";"I";"Bt";"I";"4";"II";"2";"II";"1";"I";"";"";"";"R.n";"-";"di";"p";"?";"eM";"II";3;"";"";"tax"
554;"Sphagnum platyphyllum";"M";"Sphagnum";"platyphyllum";"NISM";"2";"II";"3";"II";"4";"I";"Bt";"I";"5";"I";"2";"II";"3";"II";"";"";"";"R.w";"-";"di";"-";"";"eM";"I";3;"";"";""
555;"Sphagnum quinquefarium";"M";"Sphagnum";"quinquefarium";"NISM";"3";"I";"2";"I";"2";"II";"Bh Be";"I";"4";"II";"2";"II";"1";"I";"5";"I";"";"R.n";"-";"aut";"m";"?";"gH";"II";3;"";"";"tax"
556;"Sphagnum recurvum aggr.";"M";"Sphagnum";"recurvum aggr.";"";"3";"I";"3";"II";"4";"I";"Bt Ws";"I";"4";"II";"2";"II";"1";"II";"";"";"";"R.n";"-";"di";"m";"?";"eM";"II";3;"";"";""
557;"Sphagnum riparium";"M";"Sphagnum";"riparium";"NISM";"4";"I";"4";"";"3";"II";"Bt";"";"5";"";"2";"";"";"";"";"";"";"R.w";"-";"di";"-";"Fr-So";"eM";"";1;"";"";""
558;"Sphagnum russowii";"M";"Sphagnum";"russowii";"NISM";"3";"I";"3";"II";"4";"I";"Bt";"I";"4";"I";"2";"I";"1";"II";"";"";"";"R.n";"-";"di";"p";"So-He";"eM";"II";3;"";"";"tax"
559;"Sphagnum squarrosum";"M";"Sphagnum";"squarrosum";"NISM";"3";"I";"3";"I";"2";"II";"Bt Gf";"I";"4";"II";"2";"II";"1";"I";"3";"II";"";"R.n";"-";"aut";"m";"?";"gH";"II";3;"";"";""
560;"Sphagnum subnitens";"M";"Sphagnum";"subnitens";"NISM";"4";"II";"2";"II";"4";"I";"Bt";"I";"4";"I";"2";"II";"1";"II";"";"";"";"R.n";"-";"aut";"p";"?";"eM";"II";1;"";"";""
561;"Sphagnum subsecundum";"M";"Sphagnum";"subsecundum";"NISM";"2";"II";"3";"II";"3";"II";"Bt";"I";"5";"I";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"m";"?";"eM";"I";3;"";"";""
562;"Sphagnum tenellum";"M";"Sphagnum";"tenellum";"NISM";"3";"I";"2";"II";"4";"II";"Bt";"I";"4";"I";"2";"II";"1";"I";"";"";"";"R.n";"-";"aut";"m";"?";"eM";"II";3;"";"";""
563;"Sphagnum warnstorfii";"M";"Sphagnum";"warnstorfii";"NISM";"2";"I";"3";"II";"4";"I";"Bt";"I";"4";"I";"3";"II";"3";"II";"";"";"";"R.n";"-";"di";"m";"";"eM";"II";3;"";"";""
564;"Splachnum sphaericum";"M";"Splachnum";"sphaericum";"NISM";"2";"I";"";"";"4";"II";"Bn Be";"I";"3";"II";"3";"II";"5";"I";"";"";"";"R.k";"-";"m/d";"c";"So";"eK";"II";3;"";"";""
565;"Stegonia latifolia";"M";"Stegonia";"latifolia";"NISM";"1";"I";"";"";"4";"I";"Be Bg";"I";"2";"I";"5";"II";"";"";"";"";"";"G.n";"-";"aut";"m";"So";"eG";"II";1;"";"";""
566;"Targionia hypophylla aggr.";"H";"Targionia";"hypophylla aggr.";"";"5";"I";"1";"II";"4";"II";"Be Gf";"I";"2";"II";"5";"II";"";"";"";"";"";"T.n";"-";"m/d";"c";"Wi-Fr";"eK";"II";3;"";"VU";""
567;"Taxiphyllum wissgrillii";"M";"Taxiphyllum";"wissgrillii";"NISM";"3";"I";"2";"I";"1";"II";"Gf Be";"I";"3";"I";"5";"II";"1";"I";"3";"I";"";"Ü.n";"-";"di";"m";"Wi";"gH";"I";3;"";"";""
568;"Tayloria froelichiana";"M";"Tayloria";"froelichiana";"NISM";"1";"II";"";"";"1";"II";"Be Bh";"I";"3";"I";"x";"-";"3";"II";"";"";"";"R.n";"-";"mo";"m";"So";"gG";"II";1;"";"";""
569;"Tayloria rudolphiana";"M";"Tayloria";"rudolphiana";"NISM";"2";"I";"";"";"2";"I";"Pr";"I";"3";"I";"2";"I";"5";"I";"";"";"";"R.e";"-";"aut";"c";"So";"eH";"II";1;"";"VU";""
570;"Tayloria serrata aggr.";"M";"Tayloria";"serrata aggr.";"";"2";"II";"";"";"2";"II";"Bn Be";"II";"3";"I";"2";"II";"5";"I";"";"";"";"R.n";"Bk";"aut";"m";"So";"gH";"II";3;"";"";""
571;"Tayloria splachnoides";"M";"Tayloria";"splachnoides";"NISM";"2";"I";"";"";"1";"II";"Bh Ph";"I";"3";"I";"2";"II";"3";"II";"";"";"";"R.n";"-";"mo";"m";"So";"gH";"I";1;"";"EN";"nom"
572;"Tetraphis pellucida";"M";"Tetraphis";"pellucida";"NISM";"3";"II";"3";"I";"2";"II";"Ph";"I";"3";"II";"1";"II";"1";"I";"";"";"";"R.n";"Bk";"aut";"m";"Fr-So";"gH";"I";1;"";"";""
573;"Tetrodontium brownianum aggr.";"M";"Tetrodontium";"brownianum aggr.";"";"2";"I";"3";"I";"1";"I";"Gf";"I";"3";"II";"2";"I";"1";"I";"";"";"";"R.n";"-";"aut";"m";"So";"gG";"II";1;"";"VU";""
574;"Thamnobryum alopecurum";"M";"Thamnobryum";"alopecurum";"NISM";"4";"II";"2";"I";"2";"II";"Gf Be";"I";"4";"II";"x";"-";"3";"II";"3";"II";"";"B.n";"-";"di";"m";"Wi";"gH";"I";3;"";"";""
575;"Thuidium delicatulum aggr.";"M";"Thuidium";"delicatulum aggr.";"";"3";"II";"3";"II";"4";"II";"Be Bt";"I";"4";"I";"x";"-";"3";"II";"3";"II";"W";"D.n";"-";"di";"p";"He-Fr";"eK";"II";5;"";"";""
576;"Thuidium recognitum";"M";"Thuidium";"recognitum";"NISM";"3";"II";"";"";"2";"I";"Be";"I";"3";"II";"x";"-";"";"";"";"";"";"D.n";"-";"di";"m";"Wi";"eK";"II";3;"";"";""
577;"Thuidium tamariscinum";"M";"Thuidium";"tamariscinum";"NISM";"3";"II";"3";"I";"2";"II";"Be Bh";"II";"3";"II";"3";"II";"1";"II";"5";"II";"";"D.n";"-";"di";"m";"Wi";"gH";"I";1;"";"";""
578;"Timmia austriaca";"M";"Timmia";"austriaca";"NISM";"2";"II";"";"";"2";"I";"Be Bh";"II";"3";"I";"5";"I";"";"";"";"";"";"R.n";"-";"di";"m";"So";"gG";"II";1;"";"";""
579;"Timmia bavarica";"M";"Timmia";"bavarica";"NISM";"2";"II";"";"";"2";"I";"Gl Be";"II";"3";"I";"5";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gG";"II";1;"";"";""
580;"Timmiella anomala";"M";"Timmiella";"anomala";"NISM";"5";"I";"";"";"2";"I";"Be Gf";"I";"2";"I";"5";"I";"";"";"";"";"";"R.n";"-";"mo";"m";"So";"gG";"II";3;"";"VU";""
581;"Tomentypnum nitens";"M";"Tomentypnum";"nitens";"NISM";"3";"II";"";"";"4";"I";"Be Bt";"I";"5";"II";"x";"-";"";"";"";"";"";"D.n";"-";"di";"m";"So";"gK";"I";3;"";"";""
582;"Tortella fragilis";"M";"Tortella";"fragilis";"NISM";"1";"II";"";"";"4";"I";"Be Gf";"I";"2";"I";"4";"I";"";"";"";"";"";"R.n";"Bf";"di";"p";"So";"eG";"II";1;"";"";""
583;"Tortella inclinata";"M";"Tortella";"inclinata";"NISM";"4";"II";"3";"I";"4";"II";"Be Bg";"II";"2";"II";"5";"I";"3";"II";"1";"II";"";"P.n";"Bs";"di";"m";"Fr";"eE";"II";3;"";"";""
584;"Tortella nitida";"M";"Tortella";"nitida";"NISM";"5";"";"1";"I";"5";"I";"Gf";"I";"1";"I";"5";"I";"";"";"";"";"";"R.n";"-";"di";"-";"";"eG";"I";3;"";"VU";""
585;"Tortella tortuosa aggr.";"M";"Tortella";"tortuosa aggr.";"";"3";"II";"3";"I";"3";"II";"Gl Be";"I";"2";"II";"4";"II";"1";"II";"3";"II";"";"R.n";"(Bf)";"di";"m";"Fr-So";"gH";"II";3;"";"";""
586;"Tortula atrovirens";"M";"Tortula";"atrovirens";"NISM";"5";"I";"";"";"4";"I";"Gf Be";"I";"2";"I";"5";"I";"";"";"";"";"";"P.n";"-";"mo";"c";"Fr";"eG";"I";3;"";"VU";""
587;"Tortula intermedia";"M";"Tortula";"intermedia";"NISM";"4";"II";"";"";"5";"I";"Gf Be";"I";"2";"I";"5";"I";"";"";"";"";"";"P.n";"-";"di";"m";"Fr";"eG";"II";3;"";"";""
588;"Tortula muralis";"M";"Tortula";"muralis";"NISM";"4";"II";"3";"I";"3";"II";"Gf";"I";"2";"II";"x";"-";"5";"II";"";"";"";"R.n";"-";"aut";"c";"Fr-So";"eG";"II";3;"";"";""
589;"Tortula papillosa";"M";"Tortula";"papillosa";"NISM";"4";"I";"2";"II";"3";"I";"Pr";"I";"2";"II";"2";"II";"1";"II";"";"";"";"R.n";"Bk";"di";"-";"";"gH";"II";3;"";"";""
590;"Tortula ruralis aggr.";"M";"Tortula";"ruralis aggr.";"";"x";"-";"3";"II";"3";"II";"Gf Be";"II";"2";"II";"4";"II";"3";"II";"3";"II";"";"R.n";"-";"di";"m";"Fr";"eG";"II";3;"";"";""
591;"Tortula subulata aggr.";"M";"Tortula";"subulata aggr.";"";"x";"-";"x";"-";"2";"II";"Be Gf";"I";"3";"I";"4";"II";"3";"II";"3";"II";"";"R.n";"-";"mo";"c";"Wi-He";"gH";"II";1;"";"";""
592;"Trichocolea tomentella";"H";"Trichocolea";"tomentella";"NISM";"3";"I";"2";"II";"3";"II";"Be";"I";"4";"II";"3";"II";"3";"I";"3";"II";"";"Ü.n";"-";"di";"p";"Fr-So";"gH";"II";3;"=";"";""
593;"Trichostomum brachydontium";"M";"Trichostomum";"brachydontium";"NISM";"3";"II";"2";"II";"2";"II";"Gf Be";"I";"2";"II";"5";"I";"1";"I";"1";"I";"";"R.n";"-";"di";"p";"Fr";"gH";"II";3;"";"";""
594;"Trichostomum crispulum";"M";"Trichostomum";"crispulum";"NISM";"3";"II";"";"";"3";"II";"Gf Be";"I";"2";"II";"3";"II";"";"";"";"";"";"R.n";"-";"di";"m";"Fr-So";"gG";"II";3;"";"";""
595;"Tritomaria exsecta";"H";"Tritomaria";"exsecta";"NISM";"3";"II";"2";"I";"2";"II";"Ph Gf";"I";"3";"II";"2";"I";"1";"I";"";"";"";"Ü.n";"Bk";"di";"p";"?";"gH";"I";1;"";"";""
596;"Tritomaria exsectiformis";"H";"Tritomaria";"exsectiformis";"NISM";"2";"II";"";"";"2";"I";"Ph Gf";"II";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"gH";"II";1;"";"";""
597;"Tritomaria polita";"H";"Tritomaria";"polita";"NISM";"1";"I";"2";"II";"4";"I";"Be Bh";"II";"4";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So-He";"eU";"II";1;"";"";""
598;"Tritomaria quinquedentata";"H";"Tritomaria";"quinquedentata";"NISM";"2";"II";"3";"II";"3";"II";"Be Gf";"I";"3";"I";"3";"II";"3";"II";"5";"II";"";"D.n";"Bk";"di";"m";"So-He";"gH";"II";1;"";"";""
599;"Tritomaria scitula";"H";"Tritomaria";"scitula";"NISM";"1";"II";"";"";"4";"II";"Bg Gf";"II";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"eG";"II";1;"";"";""
600;"Ulota coarctata";"M";"Ulota";"coarctata";"NISM";"3";"I";"";"";"2";"I";"Pr";"I";"3";"I";"2";"I";"";"";"";"";"";"R.e";"-";"mo";"c";"So-He";"gH";"I";1;"";"CR";""
601;"Ulota crispa aggr.";"M";"Ulota";"crispa aggr.";"";"4";"I";"3";"I";"2";"I";"Pr";"I";"3";"II";"2";"I";"1";"I";"";"";"";"R.e";"-";"mo";"c";"So";"gH";"I";1;"";"";""
602;"Ulota hutchinsiae";"M";"Ulota";"hutchinsiae";"NISM";"3";"I";"2";"I";"2";"I";"Gf";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"mo";"c";"So";"gH";"II";1;"";"VU";""
603;"Warnstorfia exannulata";"M";"Warnstorfia";"exannulata";"NISM";"2";"II";"";"";"4";"II";"Bt Be";"I";"4";"I";"2";"II";"";"";"";"";"";"D.n";"-";"m/d";"m";"So";"eM";"I";1;"";"";""
604;"Warnstorfia fluitans";"M";"Warnstorfia";"fluitans";"NISM";"3";"II";"";"";"4";"I";"Bt";"II";"5";"I";"x";"-";"";"";"";"";"";"D.w";"-";"aut";"m";"So";"eM";"II";3;"";"";""
605;"Weissia brachycarpa";"M";"Weissia";"brachycarpa";"NISM";"4";"II";"";"";"3";"II";"Be Gf";"I";"2";"I";"4";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"Fr";"gH";"II";5;"";"";""
606;"Weissia condensa";"M";"Weissia";"condensa";"NISM";"3";"I";"";"";"4";"I";"Be Gf";"I";"2";"I";"4";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"Fr";"eG";"II";3;"";"VU";"tax"
607;"Weissia controversa aggr.";"M";"Weissia";"controversa aggr.";"";"3";"II";"";"";"x";"-";"Be Gf";"I";"2";"II";"5";"II";"";"";"";"";"";"R.n";"-";"mo";"c";"Fr-So";"gH";"II";3;"";"";""
608;"Weissia longifolia";"M";"Weissia";"longifolia";"NISM";"4";"I";"3";"I";"4";"I";"Be";"I";"2";"II";"x";"-";"3";"II";"1";"I";"L";"R.k?r";"-";"aut";"c";"Fr";"gK";"II";5;"";"";""
609;"Zygodon viridissimus aggr.";"M";"Zygodon";"viridissimus aggr.";"";"4";"II";"2";"II";"3";"II";"Pr";"I";"2";"II";"3";"II";"1";"I";"";"";"";"R.e";"Bk";"di";"-";"";"gH";"II";3;"";"(VU)";""
